tradingDate,weekDay,description,Sr_no
26-Jan-2023,Thursday,Republic Day,1
18-Feb-2023,Saturday,Mahashivratri,2
07-Mar-2023,Tuesday,Holi,3
30-Mar-2023,Thursday,Ram Navami,4
04-Apr-2023,Tuesday,Mahavir Jayanti,5
07-Apr-2023,Friday,Good Friday,6
14-Apr-2023,Friday,Dr. Baba Saheb Ambedkar Jayanti,7
22-Apr-2023,Saturday,Id-Ul-Fitr (Ramzan ID),8
01-May-2023,Monday,Maharashtra Day,9
28-Jun-2023,Wednesday,Bakri Id,10
29-Jul-2023,Saturday,Moharram,11
15-Aug-2023,Tuesday,Independence Day,12
19-Sep-2023,Tuesday,Ganesh Chaturthi,13
02-Oct-2023,Monday,Mahatma Gandhi Jayanti,14
24-Oct-2023,Tuesday,Dussehra,15
12-Nov-2023,Sunday,Diwali-Laxmi Pujan*,16
14-Nov-2023,Tuesday,Diwali-Balipratipada,17
27-Nov-2023,Monday,Gurunanak Jayanti,18
25-Dec-2023,Monday,Christmas,19
